total number of domains,15170
blocked by quad 9,8793
blocked by quad9_noblock,88
blocked by google,31
blocked by cloudflare safe,5852
blocked by cloudflare,7
blocked by opendns,6069
blocked by ultrarecursive,50

 , ,number of domains blocked
source name, total number of domains, quad_9,quad9_noblock,google,cloudflare_safe,cloudflare,opendns,ultrarecursive
BT,1945,1227,3,1,82,0,89,5
digitalside,2232,387,9,4,2149,4,2164,22
openphish,4045,3877,11,6,419,2,380,10
phishtank,7071,3870,70,21,3467,1,3653,17
pir,433,7,0,2,1,1,5,2
rescure,325,158,5,3,217,0,213,2
rescure_covid,252,223,0,1,120,0,130,0

 , ,number of domains blocked
 top level domain, total number of domains, quad_9,quad9_noblock, google,cloud flare safe, cloud flare,opendns, ultra_recursive
.ac,1,1,0,0,1,0,1,0
.ae,5,4,0,0,2,0,3,0
.af,1,1,0,0,1,0,1,0
.agency,1,1,0,0,1,0,1,0
.ai,1,0,0,0,0,0,0,0
.al,5,3,0,0,1,0,1,0
.am,10,3,0,0,5,0,7,0
.app,77,67,0,0,30,0,30,0
.ar,23,5,0,0,16,0,17,0
.art,2,1,0,0,2,0,2,0
.as,1,0,0,0,0,0,0,0
.asia,7,4,0,0,4,0,4,0
.at,17,8,0,0,7,0,7,0
.au,75,39,0,0,43,0,42,0
.az,5,1,0,0,4,0,4,0
.ba,1,1,0,0,1,0,1,0
.bd,7,3,0,0,6,0,5,0
.be,25,14,0,0,13,0,13,0
.best,1,1,0,0,1,0,1,0
.bg,3,1,0,0,1,0,1,0
.bi,1,0,0,0,1,0,1,0
.bid,9,9,0,0,3,0,2,0
.bio,1,0,0,0,1,0,1,0
.biz,52,32,4,0,15,0,17,0
.black,1,0,0,0,1,0,1,0
.blog,1,1,0,0,0,0,0,0
.bm,1,1,0,0,0,0,0,0
.bn,1,0,0,0,1,0,1,0
.bo,3,3,1,0,1,0,0,0
.br,201,70,0,0,140,0,149,0
.bt,1,0,0,0,0,0,0,0
.buzz,6,6,0,0,4,0,4,0
.by,34,1,0,0,26,0,26,0
.bz,3,0,0,0,0,0,0,0
.ca,44,16,0,0,27,0,27,0
