total number of domains,13131,,,,,,,
blocked by quad 9,6691,,,,,,,
blocked by quad9_noblock,176,,,,,,,
blocked by google,32,,,,,,,
blocked by cloudflare safe,9615,,,,,,,
blocked by cloudflare,9,,,,,,,
blocked by opendns,9627,,,,,,,
blocked by ultrarecursive,125,,,,,,,
,,,,,,,,
 , ,number of domains blocked,,,,,,
source name, total number of domains, quad_9,quad9_noblock,google,cloudflare_safe,cloudflare,opendns,ultrarecursive
BT,2280,1433,87,2,1955,1,1960,9
digitalside,2273,339,8,7,2189,2,2190,71
openphish,1388,1102,11,4,807,0,807,12
phishtank,7194,4097,72,19,4474,5,4480,34
pir,423,11,0,2,422,1,422,1
rescure,305,169,4,1,196,0,197,9
rescure_covid,263,233,2,0,132,0,132,6
,,,,,,,,
 , ,number of domains blocked,,,,,,
 top level domain, total number of domains, quad_9,quad9_noblock, google,cloud flare safe, cloud flare,opendns, ultra_recursive
.ac,1,1,0,0,1,0,1,0
.ae,4,2,0,0,3,0,3,0
.af,1,0,0,0,1,0,1,0
.agency,1,1,0,0,1,0,1,0
.ai,2,1,0,0,2,0,2,0
.al,5,3,0,0,3,0,3,0
.am,11,6,0,0,11,0,11,0
.app,63,55,0,0,31,0,31,0
.ar,24,7,0,0,23,0,23,0
.art,2,1,0,0,2,0,2,0
.as,1,0,0,0,1,0,1,0
.asia,8,4,0,0,6,0,6,0
.at,11,1,0,0,6,0,6,0
.au,69,33,0,0,61,0,61,0
.az,7,3,0,0,5,0,5,0
.bar,2,2,0,0,0,0,0,0
.bd,9,5,0,0,8,0,8,0
.be,28,16,0,0,21,0,21,0
.best,1,0,0,0,1,0,1,0
.bg,3,1,0,0,2,0,2,0
.bi,1,0,0,0,1,0,1,0
.bid,8,8,1,0,8,0,8,0
.bio,1,0,0,0,1,0,1,0
.biz,60,37,3,0,40,0,40,0
.black,1,0,0,0,1,0,1,0
.bo,1,1,0,0,1,0,1,0
.br,214,77,0,0,201,0,201,0
.bt,1,0,0,0,1,0,1,0
.buzz,2,2,0,0,2,0,2,0
.by,33,3,0,0,31,0,31,0
.bz,4,1,0,0,4,0,4,0
